math_marks,english_marks,science_marks,interest,budget_preference,location_preference,learning_style,career_goal
85,78,92,Technology,Balanced,Western Cape,Hands-on Practical,Quick Employment
70,82,75,Business,Budget Conscious,Anywhere in SA,Structured Learning,Long-term Growth
88,90,85,Engineering,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
60,65,70,Arts,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
95,88,92,Medicine,Premium Investment,Western Cape,Structured Learning,Long-term Growth
78,80,76,Science,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
82,79,85,Law,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
67,72,70,Education,Balanced,Western Cape,Hands-on Practical,Quick Employment
90,85,88,Environment,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
75,80,78,Social Sciences,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
85,87,90,Mathematics,Premium Investment,Western Cape,Hands-on Practical,Entrepreneurial
68,74,70,Sports,Balanced,Gauteng,Flexible Learning,Quick Employment
92,88,91,Technology,Premium Investment,Western Cape,Structured Learning,Long-term Growth
77,80,79,Business,Balanced,Anywhere in SA,Hands-on Practical,Quick Employment
80,85,83,Engineering,Balanced,Gauteng,Flexible Learning,Long-term Growth
65,70,68,Arts,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
89,91,87,Medicine,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
73,78,75,Science,Balanced,Anywhere in SA,Flexible Learning,Quick Employment
81,83,80,Law,Balanced,Gauteng,Structured Learning,Entrepreneurial
70,75,72,Education,Budget Conscious,Western Cape,Hands-on Practical,Quick Employment
85,78,92,Technology,Balanced,Western Cape,Hands-on Practical,Quick Employment
70,82,75,Business,Budget Conscious,Anywhere in SA,Structured Learning,Long-term Growth
88,90,85,Engineering,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
60,65,70,Arts,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
95,88,92,Medicine,Premium Investment,Western Cape,Structured Learning,Long-term Growth
78,80,76,Science,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
82,79,85,Law,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
67,72,70,Education,Balanced,Western Cape,Hands-on Practical,Quick Employment
90,85,88,Environment,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
75,80,78,Social Sciences,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
85,87,90,Mathematics,Premium Investment,Western Cape,Hands-on Practical,Entrepreneurial
68,74,70,Sports,Balanced,Gauteng,Flexible Learning,Quick Employment
92,88,91,Technology,Premium Investment,Western Cape,Structured Learning,Long-term Growth
77,80,79,Business,Balanced,Anywhere in SA,Hands-on Practical,Quick Employment
80,85,83,Engineering,Balanced,Gauteng,Flexible Learning,Long-term Growth
65,70,68,Arts,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
89,91,87,Medicine,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
73,78,75,Science,Balanced,Anywhere in SA,Flexible Learning,Quick Employment
81,83,80,Law,Balanced,Gauteng,Structured Learning,Entrepreneurial
70,75,72,Education,Budget Conscious,Western Cape,Hands-on Practical,Quick Employment
85,78,92,Technology,Balanced,Western Cape,Hands-on Practical,Quick Employment
70,82,75,Business,Budget Conscious,Anywhere in SA,Structured Learning,Long-term Growth
88,90,85,Engineering,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
60,65,70,Arts,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
95,88,92,Medicine,Premium Investment,Western Cape,Structured Learning,Long-term Growth
78,80,76,Science,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
